frame;time
1364;3e-07
1365;4e-07
1366;5e-07
1367;4e-07
1368;6e-07
1369;4e-07
1370;3e-07
1371;5e-07
1372;9e-07
1373;6e-07
1374;1.9e-06
1375;5e-07
1376;7e-07
1377;1.4e-06
1378;0.0094714
1379;9e-07
1380;6e-07
1381;3.9e-06
1382;0.0086004
1383;4e-07
1384;2.5e-06
1385;6e-07
1386;4e-07
1387;6e-07
1388;3e-07
1389;4e-07
1390;2e-06
1391;6e-07
1392;3.1e-06
1393;3e-07
1394;5.8e-06
1395;7e-07
1396;4e-07
1397;3e-07
1398;3e-07
1399;5e-07
1400;2.1e-06
1401;4e-07
1402;3.6e-06
1403;3e-07
1404;5e-07
1405;2.8e-06
1406;0.0091998
1407;7e-07
1408;3e-07
1409;4e-07
1410;0.0084445
1411;1.7e-06
1412;1e-06
1413;5e-07
1414;4e-07
1415;4e-07
1416;8e-07
1417;5e-07
1418;4e-07
1419;5e-07
1420;4e-07
1421;5e-07
1422;6e-07
1423;7e-07
1424;8e-07
1425;9e-07
1426;9e-07
1427;8e-07
1428;1.5e-06
1429;9e-07
1430;6e-07
1431;5e-07
1432;5e-07
1433;7e-07
1434;3e-07
1435;5e-07
1436;5e-07
1437;4e-07
1438;4e-07
1439;5e-07
1440;1e-06
1441;9e-07
1442;2.3e-06
1443;7e-07
1444;7e-07
1445;1.3e-06
1446;1e-06
1447;3e-07
1448;2e-07
1449;3e-07
1450;7e-07
1451;3e-07
1452;6e-07
1453;0.0085011
1454;6e-07
1455;4e-07
1456;3e-07
1457;7e-07
1458;4e-07
1459;3e-07
1460;3e-07
1461;6e-07
1462;5.9e-06
1463;8e-07
1464;4e-07
1465;4e-07
1466;3e-07
1467;6e-07
1468;6e-07
1469;4e-07
1470;6e-07
1471;8e-07
1472;5e-07
1473;7e-07
1474;1.2e-06
1475;1.7e-06
1476;5e-07
1477;5e-07
1478;8e-07
1479;1.4e-06
1480;1.3e-06
1481;6e-07
1482;6e-07
1483;5e-07
1484;9e-07
1485;5e-07
1486;6e-07
1487;8e-07
1488;6e-07
1489;1.1e-06
1490;6.7e-06
1491;2.6e-06
1492;1.1e-06
1493;1.2e-06
1494;2.4e-06
1495;1.4e-06
1496;1.5e-06
1497;6e-07
1498;5e-07
1499;3e-07
1500;5e-07
1501;1e-06
1502;3e-07
1503;5e-07
1504;4.2e-06
1505;1.4e-06
1506;7e-07
1507;8e-07
1508;9e-07
1509;5e-07
1510;4e-07
1511;4e-07
1512;5e-07
1513;6.8e-06
1514;6e-07
1515;5e-07
1516;3e-07
1517;4e-07
1518;9e-07
1519;5e-07
1520;3e-07
1521;5e-07
1522;5e-07
1523;5e-07
1524;7e-07
1525;1.1e-06
1526;4e-07
1527;1.1e-06
1528;4e-07
1529;7e-07
1530;1.3e-06
1531;8e-07
1532;6e-07
1533;4e-07
1534;5e-07
1535;6e-07
1536;3e-07
1537;4e-07
1538;5e-07
1539;6e-07
1540;5e-07
1541;7e-07
1542;9e-07
1543;1.2e-06
1544;7e-07
1545;6e-07
1546;6e-07
1547;1.7e-06
1548;1.4e-06
1549;4e-07
1550;4e-07
1551;5e-07
1552;9e-07
1553;3e-07
1554;4e-07
1555;8e-07
1556;7e-07
1557;5e-07
1558;8e-07
1559;1.9e-06
1560;9e-07
1561;5e-07
1562;3e-07
1563;7e-07
1564;1.5e-06
1565;2.4e-06
1566;3e-07
1567;3e-07
1568;4e-07
1569;1.7e-06
1570;3e-07
1571;4e-07
1572;8e-07
1573;5e-07
1574;8e-07
1575;7e-07
1576;7e-07
1577;8e-07
1578;6e-07
1579;4e-07
1580;1.7e-06
1581;6.3e-06
1582;4e-07
1583;4e-07
1584;5e-07
1585;3e-07
1586;4e-07
1587;6e-07
1588;1.1e-06
1589;6e-07
1590;3e-07
1591;4e-07
1592;4.9e-06
1593;1.5e-06
1594;2e-06
1595;5e-07
1596;8e-07
1597;7e-07
1598;1.4e-06
1599;8e-07
1600;6e-07
1601;5e-07
1602;6e-07
1603;9e-07
1604;4e-07
1605;4e-07
1606;6e-07
1607;6e-07
1608;5e-07
1609;4e-07
1610;1.1e-06
1611;5e-07
1612;1e-06
1613;7e-07
1614;3.7e-06
1615;1.3e-06
1616;3e-07
1617;3e-07
1618;4e-07
1619;3e-07
1620;3e-07
1621;3e-07
1622;4e-07
1623;0.0004606
1624;5e-07
1625;8e-07
1626;7e-07
1627;4e-06
1628;7e-07
1629;4e-07
1630;2e-07
1631;1.6e-06
1632;1.7e-06
1633;4e-07
1634;4e-07
1635;5e-07
1636;4e-07
1637;4e-07
1638;5e-07
1639;3e-07
1640;7e-07
1641;4e-07
1642;6e-07
1643;9e-07
1644;6e-07
1645;7e-07
1646;7e-07
1647;3e-07
1648;4e-07
1649;1.7e-06
1650;8e-07
1651;5e-07
1652;1.1e-06
1653;5e-07
1654;4e-07
1655;3e-07
1656;5e-07
1657;5e-07
1658;6e-07
1659;1.7e-06
1660;9e-07
1661;9e-07
1662;4.6e-06
1663;1e-06
1664;9e-07
1665;2e-06
1666;1.7e-06
1667;4e-07
1668;5e-07
1669;5e-07
1670;4e-07
1671;3e-07
1672;3e-07
1673;3e-07
1674;1.1e-06
1675;4e-07
1676;9e-07
1677;5e-07
1678;6e-07
1679;9e-07
1680;7e-07
1681;5e-07
1682;3e-07
1683;2.89e-05
1684;4e-07
1685;4e-07
1686;4e-07
1687;3e-07
1688;7e-07
1689;7e-07
1690;4e-07
1691;2.2e-06
1692;9e-07
1693;3.9e-06
1694;8e-07
1695;6e-07
1696;6e-07
1697;5e-07
1698;3e-07
1699;1.2e-06
1700;1.4e-06
1701;3e-07
1702;4e-07
1703;4e-07
1704;8e-07
1705;6e-07
1706;3e-07
1707;5e-07
1708;2.7e-06
1709;3e-07
1710;5e-07
1711;5e-07
1712;8e-07
1713;1.2e-06
1714;7e-07
1715;9e-07
1716;1.88e-05
1717;1.2e-06
1718;9e-07
1719;4e-07
1720;5e-07
1721;4e-07
1722;6e-07
1723;4e-07
1724;7e-07
1725;4e-07
1726;6e-07
1727;7e-07
1728;6e-07
1729;6e-07
1730;7e-07
1731;9e-07
1732;4e-07
1733;4e-07
1734;1.5e-06
1735;3e-07
1736;3e-07
1737;5e-07
1738;3e-07
1739;3e-07
1740;3e-07
1741;4e-07
1742;1.1e-06
1743;4e-07
1744;1e-06
1745;5e-07
1746;7e-07
1747;8e-07
1748;6e-07
1749;4e-07
1750;4e-07
1751;5.6e-06
1752;4e-07
1753;2.1e-06
1754;4e-07
1755;3e-07
1756;4e-07
1757;7e-07
1758;4e-07
1759;5e-07
1760;4e-07
1761;4e-07
1762;8e-07
1763;6e-07
1764;1.3e-06
1765;6e-07
1766;5e-07
1767;4e-07
1768;1.2e-06
1769;1e-06
1770;5e-07
1771;5e-07
1772;5e-07
1773;4e-07
1774;5e-07
1775;5e-07
1776;4e-07
1777;5e-07
1778;1e-06
1779;1.9e-06
